Timestamp,gender,age_range,marital_status,education_level,employment_status,main_telecom,social_media_accounts,challenges_in_cs,best_social_media_for_cs,chatbot_acceptance,main_telecom_cs_csat,rating_of_national_cs,need_for_cs_website,need_for_cs_mobile_app,need_for_cs_live_chat,need_for_cs_video_and_screen_sharing,need_for_cs_multilingual,need_for_cs_image_sharing,need_for_cs_self_help_repos,need_for_cs_recommended_solutions,need_for_cs_ticket_status_display,need_for_cs_scheduled_support,need_for_agents_rate_and_review,need_for_cs_discussion_forums,most_important_factor_in_cs,necessity_of_cs_dedicated_platform
18/08/2022 11:25:06,Female,20 years - 35 years,Single,Secondary school,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",Twitter,2,3,3,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,Ability to have my issue sorted on my own (without having to talk to an agent or someone),Very necessary
18/08/2022 11:31:40,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Telegram","Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",Twitter,1,4,3,essential,not essential,essential,not essential,essential,essential,very essential,very essential,very essential,essential,essential,I am not sure,How easy it is for me to have my issue sorted.,I am not sure
18/08/2022 11:45:36,Female,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Facebook","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",Email,1,4,2,essential,very essential,not essential,not essential,very essential,essential,very essential,essential,not essential,I am not sure,essential,I am not sure,Speed at which my issue is sorted.,I am not sure
18/08/2022 11:49:25,Female,20 years - 35 years,Single,Undergraduate,Student,Lyca mobile,"Email, WhatsApp, Facebook, Telegram","No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents late in the night.",WhatsApp,2,4,1,not essential,not essential,essential,not essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,Speed at which my issue is sorted.,I am not sure
18/08/2022 12:07:15,Female,20 years - 35 years,Single,Vocational college,Student,MTN,"Email, WhatsApp, Twitter, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Twitter,4,5,3,I am not sure,very essential,not essential,I am not sure,very essential,very essential,not essential,not essential,very essential,not essential,essential,I am not sure,Speed at which my issue is sorted.,Very necessary
18/08/2022 12:11:22,Male,20 years - 35 years,Single,Secondary school,Student,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",WhatsApp,4,4,3,very essential,I am not sure,very essential,I am not sure,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,How easy it is for me to have my issue sorted.,Very necessary
18/08/2022 12:16:59,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents late in the night.",Twitter,5,4,4,not essential,not essential,very essential,very essential,very essential,very essential,very essential,essential,very essential,essential,very essential,I am not sure,Ability to have my issue sorted on my own (without having to talk to an agent or someone),Very necessary
18/08/2022 12:19:23,Female,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Twitter,5,4,4,not essential,essential,very essential,not essential,essential,essential,very essential,essential,very essential,very essential,very essential,not essential,Ability to have my issue sorted on my own (without having to talk to an agent or someone),I am not sure
18/08/2022 12:20:48,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No other ",WhatsApp,5,5,3,not essential,not essential,very essential,essential,essential,very essential,very essential,very essential,very essential,essential,very essential,very essential,How easy it is for me to have my issue sorted.,Very necessary
18/08/2022 12:32:26,Female,20 years - 35 years,Cohabiting,Post graduate and above,"Unemployed, looking for work",MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",Calls,5,4,4,not essential,not essential,essential,essential,very essential,essential,essential,very essential,very essential,essential,very essential,very essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 12:41:40,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,Twitter,"Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",Twitter,3,5,3,very essential,very essential,essential,I am not sure,very essential,essential,essential,very essential,very essential,essential,very essential,very essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 12:58:10,Female,20 years - 35 years,Single,Secondary school,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",WhatsApp,3,1,1,essential,essential,essential,essential,essential,essential,essential,essential,essential,essential,essential,essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 12:59:33,Male,20 years - 35 years,Married,Undergraduate,Self employed,AIRTEL,"Email, WhatsApp, Twitter, Facebook","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",Twitter,3,3,3,very essential,essential,essential,essential,not essential,essential,essential,not essential,essential,not essential,essential,essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 13:02:09,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents late in the night.",Twitter,4,5,3,not essential,essential,very essential,very essential,very essential,very essential,very essential,very essential,I am not sure,I am not sure,not essential,I am not sure,Speed at which my issue is sorted.,Not necessary at all
18/08/2022 13:03:02,Male,20 years - 35 years,Married,Undergraduate,Self employed,AIRTEL,"Email, WhatsApp, Twitter, Facebook","Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents late in the night.",WhatsApp,4,3,3,not essential,very essential,very essential,not essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 13:05:29,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Twitter,4,3,4,essential,not essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,Speed at which my issue is sorted.,Not necessary at all
18/08/2022 13:14:30,Female,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",Twitter,3,4,4,very essential,essential,essential,very essential,very essential,I am not sure,very essential,very essential,essential,not essential,very essential,essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 13:22:34,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents late in the night.",Phone call,4,5,5,very essential,essential,very essential,essential,not essential,essential,I am not sure,not essential,I am not sure,essential,I am not sure,very essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 13:22:36,Female,20 years - 35 years,Single,Post graduate and above,Employed on a salary,MTN,"Email, WhatsApp, Facebook","Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents over the weekends.",WhatsApp,2,4,4,not essential,essential,very essential,not essential,essential,not essential,essential,essential,essential,essential,very essential,not essential,How easy it is for me to have my issue sorted.,Very necessary
18/08/2022 13:25:51,Female,20 years - 35 years,Single,Undergraduate,Self employed,AIRTEL,"WhatsApp, Telegram","Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents late in the night.",call,3,4,4,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 13:26:11,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"WhatsApp, Twitter","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",Email,3,3,3,I am not sure,essential,I am not sure,I am not sure,I am not sure,not essential,not essential,not essential,not essential,not essential,not essential,I am not sure,Speed at which my issue is sorted.,I am not sure
18/08/2022 13:29:16,Male,20 years - 35 years,Single,Undergraduate,Employed on a salary,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",WhatsApp,3,3,3,essential,essential,very essential,very essential,essential,essential,very essential,essential,very essential,not essential,essential,I am not sure,Speed at which my issue is sorted.,Very necessary
18/08/2022 13:30:31,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,WhatsApp,"Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Twitter,1,3,2,essential,essential,very essential,essential,very essential,essential,essential,essential,very essential,not essential,essential,essential,How easy it is for me to have my issue sorted.,Very necessary
18/08/2022 13:33:39,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents over the weekends.",Twitter,2,3,3,very essential,very essential,very essential,very essential,essential,essential,essential,very essential,essential,not essential,essential,very essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 13:34:33,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",Twitter,1,2,3,essential,very essential,essential,not essential,very essential,essential,essential,very essential,very essential,essential,very essential,essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 13:45:05,Female,35 years - 45 years,Cohabiting,Post graduate and above,Employed on a salary,AIRTEL,"Email, WhatsApp, Facebook","No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents over the weekends.",Email,4,2,3,essential,very essential,essential,very essential,very essential,I am not sure,not essential,not essential,essential,very essential,essential,not essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 13:54:54,Female,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",Email,3,5,3,essential,I am not sure,not essential,not essential,essential,not essential,very essential,very essential,essential,I am not sure,essential,very essential,How easy it is for me to have my issue sorted.,Very necessary
18/08/2022 13:55:51,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents over the weekends.",Twitter,3,2,3,very essential,not essential,very essential,essential,very essential,essential,very essential,very essential,very essential,essential,essential,essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 13:59:27,Female,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Twitter,1,2,2,essential,very essential,very essential,essential,very essential,very essential,essential,very essential,very essential,essential,very essential,not essential,Speed at which my issue is sorted.,I am not sure
18/08/2022 14:00:58,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,WhatsApp,"No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",Twitter,5,3,3,very essential,essential,very essential,very essential,very essential,very essential,essential,not essential,very essential,essential,very essential,not essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 14:04:15,Female,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media.",Email,4,3,4,essential,not essential,very essential,essential,very essential,essential,very essential,very essential,very essential,I am not sure,essential,essential,Ability to have my issue sorted on my own (without having to talk to an agent or someone),Very necessary
18/08/2022 14:09:52,Female,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Telegram","Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",Messages,1,3,3,not essential,essential,not essential,not essential,not essential,not essential,essential,very essential,essential,not essential,not essential,not essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 14:10:08,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents over the weekends.",WhatsApp,4,3,4,essential,very essential,essential,not essential,essential,essential,essential,essential,essential,not essential,essential,not essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 14:14:09,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., Little help provided on certain issues",Twitter,5,5,3,not essential,not essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,essential,Speed at which my issue is sorted.,I am not sure
18/08/2022 14:17:48,Male,20 years - 35 years,Single,Secondary school,"Unemployed, looking for work",AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents over the weekends.",WhatsApp,5,5,5,essential,very essential,essential,essential,not essential,essential,not essential,essential,essential,very essential,not essential,essential,Speed at which my issue is sorted.,I am not sure
18/08/2022 14:21:50,Female,20 years - 35 years,Single,Undergraduate,Student,MTN,WhatsApp,"Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",WhatsApp,3,4,4,essential,very essential,very essential,essential,very essential,essential,very essential,very essential,essential,not essential,very essential,not essential,Ability to have my issue sorted on my own (without having to talk to an agent or someone),Very necessary
18/08/2022 14:22:27,Female,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,Email,"No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents over the weekends.",Email,5,4,4,essential,very essential,very essential,very essential,very essential,very essential,very essential,essential,very essential,very essential,very essential,essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 14:23:06,Female,20 years - 35 years,Single,Post graduate and above,"Unemployed, looking for work",MTN,WhatsApp,"Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Email,3,4,3,essential,very essential,essential,not essential,essential,very essential,essential,not essential,essential,very essential,essential,essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 14:24:54,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Telegram","Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents over the weekends.",Twitter,3,2,3,not essential,not essential,very essential,not essential,essential,very essential,very essential,essential,not essential,not essential,not essential,not essential,Speed at which my issue is sorted.,I am not sure
18/08/2022 14:42:36,Male,20 years - 35 years,Single,Undergraduate,Self employed,AIRTEL,"WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents over the weekends.",WhatsApp,2,4,3,essential,very essential,very essential,not essential,essential,very essential,very essential,essential,not essential,essential,not essential,not essential,Speed at which my issue is sorted.,I am not sure
18/08/2022 14:43:24,Male,20 years - 35 years,Single,Secondary school,Student,AIRTEL,WhatsApp,"Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., wrong answer to my complaint",Email,2,3,2,essential,essential,essential,not essential,essential,not essential,very essential,essential,not essential,not essential,essential,very essential,Speed at which my issue is sorted.,I am not sure
18/08/2022 14:45:41,Male,20 years - 35 years,Single,Undergraduate,Employed on a salary,MTN,"Email, WhatsApp, Twitter, Facebook, Telegram","No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",WhatsApp,1,3,3,very essential,not essential,very essential,very essential,very essential,essential,not essential,very essential,not essential,essential,essential,essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 15:03:37,Male,20 years - 35 years,Single,Undergraduate,Employed on a salary,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Twitter,4,3,2,essential,essential,very essential,essential,not essential,very essential,very essential,very essential,very essential,essential,very essential,essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 15:21:26,Male,20 years - 35 years,Single,Secondary school,Student,MTN,"Email, WhatsApp","Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",Feedback message ,3,5,4,essential,essential,very essential,not essential,very essential,essential,very essential,very essential,essential,essential,very essential,very essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 15:25:25,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Facebook","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents over the weekends.",WhatsApp,4,4,5,essential,very essential,essential,essential,essential,very essential,essential,essential,very essential,essential,very essential,essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 15:30:14,Female,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",Twitter,2,2,3,essential,essential,very essential,essential,very essential,very essential,very essential,very essential,very essential,essential,not essential,not essential,Speed at which my issue is sorted.,I am not sure
18/08/2022 15:33:17,Male,20 years - 35 years,Married,Post graduate and above,Employed on a salary,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",WhatsApp,1,1,1,essential,essential,very essential,essential,essential,essential,essential,essential,very essential,essential,not essential,essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 15:40:04,Female,above 45 years,Married,Undergraduate,Self employed,MTN,"Email, WhatsApp, Facebook","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",WhatsApp,3,3,3,not essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,essential,essential,very essential,Ability to have my issue sorted on my own (without having to talk to an agent or someone),Very necessary
18/08/2022 15:44:15,Male,20 years - 35 years,Single,Secondary school,Student,AIRTEL,"Email, WhatsApp, Twitter, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",WhatsApp,3,4,3,essential,very essential,very essential,essential,very essential,very essential,very essential,very essential,very essential,not essential,I am not sure,essential,Speed at which my issue is sorted.,I am not sure
18/08/2022 15:57:33,Female,20 years - 35 years,Single,Secondary school,Student,MTN,"Email, WhatsApp, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Email,4,3,4,very essential,not essential,very essential,I am not sure,very essential,very essential,very essential,very essential,very essential,very essential,very essential,very essential,How easy it is for me to have my issue sorted.,Very necessary
18/08/2022 15:57:49,Male,20 years - 35 years,Cohabiting,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents late in the night.",WhatsApp,5,4,4,very essential,very essential,very essential,not essential,very essential,very essential,essential,essential,very essential,very essential,very essential,essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 15:58:56,Female,20 years - 35 years,Single,Secondary school,Student,AIRTEL,"Email, WhatsApp, Twitter, Facebook, Telegram","No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",Phone call,4,4,4,very essential,very essential,essential,I am not sure,very essential,essential,very essential,essential,very essential,essential,essential,not essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 16:01:53,Male,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,WhatsApp,"Many steps have to be followed to talk to a customer care agent., Connected to an agent with low technical knowledge needed to handle my issue., No/low availability of customer support agents late in the night.",Twitter,1,3,3,essential,essential,very essential,not essential,very essential,very essential,very essential,very essential,very essential,essential,very essential,essential,Ability to have my issue sorted on my own (without having to talk to an agent or someone),Very necessary
18/08/2022 16:02:15,Male,20 years - 35 years,Single,Secondary school,Self employed,AIRTEL,"Email, WhatsApp, Twitter","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., No/low availability of customer support agents late in the night.",WhatsApp,2,2,2,essential,essential,very essential,essential,very essential,very essential,very essential,essential,essential,essential,essential,essential,Speed at which my issue is sorted.,I am not sure
18/08/2022 17:36:41,Male,20 years - 35 years,Single,Undergraduate,Student,MTN,"Email, WhatsApp, Twitter, Telegram","Many steps have to be followed to talk to a customer care agent., No/late responses to my customer support complaints on social media., Connected to an agent with low technical knowledge needed to handle my issue.",Twitter,2,4,3,essential,not essential,very essential,not essential,not essential,essential,very essential,very essential,very essential,essential,very essential,very essential,Speed at which my issue is sorted.,Very necessary
18/08/2022 18:00:27,Female,20 years - 35 years,Single,Undergraduate,Student,AIRTEL,"Email, WhatsApp, Twitter, Telegram","Many steps have to be followed to talk to a customer care agent., No/low availability of customer support agents late in the night., No/low availability of customer support agents over the weekends.",Twitter,3,3,3,essential,very essential,very essential,essential,very essential,very essential,very essential,very essential,very essential,essential,very essential,essential,Speed at which my issue is sorted.,I am not sure
